,Aqueous species id,Compound name,Charge,ΔfG° (kJ/mol),ΔfH° (kJ/mol),ΔfS° (kJ/K/mol),Cp° (kJ/K/mol),compound_id,dgf_obs
128,CHB_15350_-2,acetyl phosphate,-2,-1219.49,,,,CHB_15350,-1219.49
129,CHB_17742_-2,4-hydroxy-2-oxoglutarate,-2,-951.78,,,,CHB_17742,-951.78
130,CHB_30934_-2,(R)-2-methylmalate,-2,-843.9,,,,CHB_30934,-843.9
131,CHB_30719_-2,2-methylmaleate,-2,-600.7,,,,CHB_30719,-600.7
132,CHB_30780_-2,maleate,-2,-592.09,,,,CHB_30780,-592.09
133,CHB_28907_-2,"2,3-Bisphosphoglycerate",-2,-2436.0,,,,CHB_28907,-2436.0
134,CHB_17794_-2,(R)-3-phosphoglycerate,-2,-1545.52,,,,CHB_17794,-1545.52
135,CHB_18110_-2,3-phosphonooxypyruvate,-2,-1484.2,,,,CHB_18110,-1484.2
136,CHB_16087_-2,isocitrate,-2,-1192.57,,,,CHB_16087,-1192.57
137,CHB_7815_-2,oxalosuccinate,-2,-1138.88,,,,CHB_7815,-1138.88
138,CHB_15589_-2,(S)-malate,-2,-842.66,-1079.79,,,CHB_15589,-842.66
139,CHB_32797_-2,hydroxyglutarate,-2,-840.18,,,,CHB_32797,-840.18
140,CHB_16283_-2,cystine,-2,-571.1,,,,CHB_16283,-571.1
141,CHB_17561_-2,L-cysteine,-2,-232.8,,,,CHB_17561,-232.8
142,CHB_17368_-2,hypoxanthine,-2,209.1,,,,CHB_17368,209.1
143,CHB_15713_-1,UTP,-1,-3394.650744,-4124.076752,-2.4465866000000003,0.69964848,CHB_15713,-3394.650744
144,CHB_18077_-1,dTTP,-1,-3260.77948,-3990.7996160000002,-2.4485903600000003,0.72897832,CHB_18077,-3260.77948
145,CHB_17625_-1,dUTP,-1,-3254.373776,-3947.905248,-2.32618676,0.66312216,CHB_17625,-3254.373776
146,CHB_17677_-1,CTP,-1,-3180.040832,-3925.202864,-2.49933934,0.7085185600000001,CHB_17677,-3180.040832
147,CHB_18009_-1,NADP,-1,-3106.14,-4245.79,-3.8225535,0.8106,CHB_18009,-3106.14
148,CHB_16474_-1,NADPH,-1,-3091.7,-4278.25,-3.9799335,0.919,CHB_16474,-3091.7
149,CHB_15996_-1,GTP,-1,-3077.068408,-3875.1873280000004,-2.6769817,0.8234948799999999,CHB_15996,-3077.068408
150,CHB_16311_-1,dCTP,-1,-3039.763864,-3749.0313600000004,-2.3789813399999997,0.67086256,CHB_16311,-3039.763864
151,CHB_16497_-1,dGTP,-1,-2934.691072,-3713.751872,-2.6130658600000003,0.78935344,CHB_16497,-2934.691072
152,CHB_15422_-1,ATP,-1,-2830.216592,-3599.3445760000004,-2.57976122,0.8117796800000001,CHB_15422,-2830.216592
